scenario;year;kaukok;sahko;pumput;muu
pysahdys;2041;0;0;0;0
pysahdys;2042;0;0;0;0
pysahdys;2043;0;0;0;0
pysahdys;2044;0;0;0;0
pysahdys;2045;0;0;0;0
pysahdys;2046;0;0;0;0
pysahdys;2047;0;0;0;0
pysahdys;2048;0;0;0;0
pysahdys;2049;0;0;0;0
pysahdys;2050;0;0;0;0
