scenario;year;kmuoto;myymal_hyper;myymal_super;myymal_pien;myymal_muu;majoit;asla;ravint;tsto;liiken;hoito;kokoon;opetus;muut
wemp;2034;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2035;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2035;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2036;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2036;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2037;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2037;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2038;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2038;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2039;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2039;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2040;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2040;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2041;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2041;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2042;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2042;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2043;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2043;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2044;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2044;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2045;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2045;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2046;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2046;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2047;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2047;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2048;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2048;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2049;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2049;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemp;2050;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemp;2050;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2018;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2018;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2019;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2019;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2020;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2020;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2021;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2021;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2022;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2022;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2023;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2023;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2024;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2024;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2025;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2025;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2026;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2026;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2027;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2027;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2028;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2028;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2029;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2029;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2030;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2030;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2031;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2031;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2032;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2032;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2033;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2033;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2034;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2034;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2035;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2035;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2036;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2036;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2037;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2037;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2038;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2038;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2039;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2039;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2040;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2040;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2041;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2041;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2042;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2042;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2043;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2043;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2044;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2044;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2045;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2045;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2046;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2046;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2047;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2047;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2048;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2048;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2049;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2049;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
wemh;2050;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
wemh;2050;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2018;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2018;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2019;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2019;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2020;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2020;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2021;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2021;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2022;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2022;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2023;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2023;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2024;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2024;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2025;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2025;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2026;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2026;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2027;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2027;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2028;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2028;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2029;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2029;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2030;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2030;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2031;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2031;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2032;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2032;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2033;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2033;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2034;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2034;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2035;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2035;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2036;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2036;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2037;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2037;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2038;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2038;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2039;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2039;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2040;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2040;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2041;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2041;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2042;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2042;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2043;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2043;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2044;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2044;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2045;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2045;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2046;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2046;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2047;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2047;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2048;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2048;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2049;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2049;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
weml;2050;pauto;5;5;9;5;5;9;5;9;9;14;9;9;14
weml;2050;kauto;64;64;34;38;75;68;83;43;49;54;58;65;49
